iata_code,icao_code,name,city,country,latitude,longitude
ABT,OEBA,"King Saud Bin Abdulaziz (Al Baha) Airport",Al-Baha,SA,20.298506,41.636153
BHH,OEBH,"Bisha Airport",Bisha,SA,19.9844,42.620899
DMM,OEDF,"King Fahd International Airport","Ad Dammam",SA,26.471201,49.797901
DWD,,"King Salman Abdulaziz Airport",Dawadmi,SA,24.4499,44.121201
DHA,OEDR,"King Abdulaziz Air Base",Dhahran,SA,26.2654,50.152
GIZ,OEGN,"Jizan Regional Airport / King Abdullah bin Abdulaziz Airport",Jizan,SA,16.9011,42.5858
ELQ,OEGS,"Gassim Airport",Buraidah,SA,26.302799,43.774399
URY,OEGT,"Gurayat Domestic Airport",Gurayat,SA,31.412413,37.278898
HAS,OEHL,"Ha'il Airport",Ha'il,SA,27.437901,41.686298
QJB,,"Jubail Airport",Jubail,SA,27.039,49.405102
JED,OEJN,"King Abdulaziz International Airport",Jeddah,SA,21.6796,39.156502
